Gene,gamma,beta,offset,a,t,h,intercept
Cdc25b,0.50557077,8.12261,-0.47877985,0.20455365,-0.7465784,0.89072055,0.06315233
Cdc42bpa,12.076671,7.168797,-0.1731989,0.5814099,-0.9280366,1.1619488,0.039826434
Cdc42ep3,0.08115554,8.622133,0.0,1.0,0.5,4.896324,0.0
Cdca2,14.7533455,5.079008,-0.7233327,0.6747636,0.7006453,1.0744092,-0.74467486
Cdca3,0.0014452436,182.47708,0.0,1.0,0.5,5.75966,0.0
Cdca8,0.11679884,17.664017,-0.36707106,1.2165915,1.3614585,5.2372937,-0.17984381
Cdh1,0.26720715,15.748994,-0.40160182,0.22581206,1.7663761,0.58739316,0.005210339
Cdk1,0.063272126,56.723133,-0.25443685,0.029492326,-1.1954588,2.1403775,0.118865244
Cdk14,3.0078967,0.29050982,0.0,1.0,0.5,0.49322215,0.0
Cdk17,13.148924,0.10790514,0.0,1.0,0.5,0.5605313,0.0
Cdk19,2.7424974,0.55177206,0.0,1.0,0.5,1.7106535,0.0
Cdk6,70.53649,106.03574,-1.2420659,14.055469,0.560656,13.072803,1.3107978
Cdkl3,1.2089509,0.5883763,0.0,1.0,0.5,0.31402364,0.0
Cdkn1a,18.071299,35.280605,-0.5984015,0.94998753,0.74604106,0.80769604,-0.054783486
Cdkn1b,234.90692,1038.4999,-0.37744915,6.251364,0.42471895,1.2854933,0.014629266
Cdkn3,0.015502451,48.993465,-0.13447104,0.47571355,2.0979478,1.8249655,0.02234074
Cebpa,0.0118027115,50.648617,0.0,1.0,0.5,7.359054,0.0
Cebpe,0.0010995957,352.25653,0.0,1.0,0.5,9.540649,0.0
